Memento Mori aus Ebenholz
Dunkles Reagenz
Fauliges Eichenholz
Halbierte Münze
Schwarze Abwehr
Außerirdische Flora
Azarovs Schlüssel
Beschädigtes Foto
Der Rattenfänger
Die letzte Maske
Eiterlehm
Großmutters Kochbuch
Herzmedaillon
Kaputte Brille
Krähenauge
Laborausweis vom Hawkins National Laboratory
Luftschleusentore
MacMillans Fingerknochen
Marys Brief
Memento Mori aus Elfenbein
Morsches Eichenholz
Puzzleteil
Rindertalgmischung
RPD-Abzeichen
Verkohltes Hochzeitsfoto
VIP-Armband
Wappen der Yamaoka-Familie
Zerbrochene Flasche
Modriges Eichenholz
Trübes Reagenz
Tuch des Verschwindens
Zerkratzte Münze
Blaupause mit Notizen
Blutige Blaupause
Klares Reagenz
Opferabwehr
Schwaches Reagenz
Vigos Blaupause
Zerrissene Blaupause
