Ebony Memento Mori
Black Ward
Cut Coin
Murky Reagent
Putrid Oak
Airlock Doors
Alien Flora
Azarov's Key
Beef Tallow Mixture
Charred Wedding Photograph
Crow's Eye
Damaged Photo
Grandma's Cookbook
Hawkins National Laboratory ID
Heart Locket
Ichorous Loam
Ivory Memento Mori
Jigsaw Piece
MacMillan's Phalanx Bone
Mary's Letter
Rotten Oak
RPD Badge
Shattered Bottle
Shattered Glasses
The Last Mask
The Pied Piper
VIP Wristband
Yamaoka Family Crest
Hazy Reagent
Moldy Oak
Scratched Coin
Shroud of Vanishing
Annotated Blueprint
Bloodied Blueprint
Clear Reagent
Faint Reagent
Sacrificial Ward
Torn Blueprint
Vigo's Blueprint
